Category,Major Groups,Products,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19 
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,Ethylene Dichloride (By Product),454.06,435.12,316.44,278.03,285.3,277.35,282.57,282.35,339.204
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,2-Ethyl Hexanol,28.9,48.97,49.78,20.19,13.89,44.41,45.59,56.64,58.892
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,Epichlorohydrine,7.99,8.57,10.69,0,0,0,0,0,0
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,PBT,0,0,0,0.43,0.5,0.5,0.61,0.58,1.292
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,Polycarbonate,0,0,0,0.16,0.16,0.17,0.15,0.09,0.115
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,Iso-Butanol,2.91,2.44,2.38,0.79,0.67,1.86,1.96,2.23,2.206
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,Isopropanol (IPA),67.46,71.08,70.33,75.9,74.98,71.18,72.47,71.83,58.266
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,Methyl Methacrylate  (MMA),4.55,4.29,3.12,3.23,3.47,2.28,0.54,2.83,3.994
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,Phthalic Anhydride (PAN),252.63,249.58,254.47,263.75,291.52,305.78,296.07,290.01,275.068
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,Propylene Oxide (PO),32.15,34.86,29.84,33.43,36.61,25.59,29.34,36,35.122
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,Propylene Glycol (PG),16.53,19.47,15.11,14.04,16.25,13.65,16.35,17.64,19.129
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,Polyvinyl Acetate Resin,2.24,0,0,0,0,0,0,0,0
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,Vinyl Chloride Monomer (VCM) (By Product),672.19,689.24,668.92,735.47,717.88,790.71,791.26,777.98,803.618
OTHER PETRO-BASED CHEMICALS,OTHER PETRO-BASED CHEMICALS,POLYOL,31.12,41.11,42.21,40.12,51.78,71.8,78.72,79.43,82.129
